time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
9.132,1.7602,-1.8172,1.3668,2.8760000000000003,Walking
9.134,2.0264,-1.8251,1.4784,3.102,Walking
9.135,2.226,-1.9034,1.4227,3.2560000000000002,Walking
9.139,2.3321,-2.0271,1.4268,3.403,Walking
9.149,2.4778,-1.978,1.3795,3.458,Walking
9.162,1.8272,-1.3036,1.1496,2.522,Walking
9.169,1.814,-1.3048,1.166,2.52,Walking
9.18,0.717,0.3946,1.0179,1.306,Walking
9.192,0.1246,1.388,1.0466,1.743,Walking
9.208,-0.2542,1.8681,0.6437,1.992,Walking
9.212,-0.5401,1.0374,-0.1432,1.178,Walking
9.219,-0.1103,0.0784,-1.3668,1.3730000000000002,Walking
9.236,0.1793,-0.575,-1.9496,2.041,Walking
9.238,-0.0298,-0.2704,-2.8815,2.8939999999999997,Walking
9.252,0.2475,1.5213,-3.3733,3.7089999999999996,Walking
9.257,0.2858,3.9804,-3.0477,5.021,Walking
9.271,0.4572,6.0397,-3.0474,6.78,Walking
9.279,1.7314,7.7092,-3.1939,8.522,Walking
9.289,0.7198,5.7969,-2.9176,6.53,Walking
9.305,0.5394,3.2099,-1.8356,3.737,Walking
9.31,1.0806,2.5244,-1.9399,3.362,Walking
9.342,1.1762,2.0642,-1.6421,2.888,Walking
9.344,1.1673,1.5546,-1.3814,2.385,Walking
9.345,0.864,0.639,-1.4406,1.797,Walking
9.351,0.6052,-0.3443,-1.1712,1.3630000000000002,Walking
9.359,0.1798,-1.4642,-0.9113,1.734,Walking
9.369,-0.2359,-2.5454,-0.7048,2.6519999999999997,Walking
9.38,-0.6547,-3.2465,-0.3637,3.332,Walking
9.389,-0.9449,-3.7512,0.0052,3.8680000000000003,Walking
9.403,-0.9918,-3.79,0.2822,3.928,Walking
9.407,-1.203,-3.4002,0.0942,3.608,Walking
9.434,-1.0921,-2.7911,-0.0709,2.998,Walking
9.436,-1.0502,-2.2172,-0.2683,2.468,Walking
9.441,-0.7849,-1.0485,-0.4271,1.3780000000000001,Walking
9.448,-0.7649,-1.0461,-0.418,1.3619999999999999,Walking
9.46,-0.7568,-0.2414,-0.4058,0.892,Walking
9.477,-0.8284,0.064,-0.329,0.894,Walking
9.481,-0.9998,0.4774,-0.2298,1.1320000000000001,Walking
9.487,-1.051,0.8668,-0.318,1.399,Walking
9.505,-0.8094,1.1283,-0.3704,1.4369999999999998,Walking
9.506,-0.8094,1.1283,-0.3704,1.4369999999999998,Walking
9.508,-0.6669,1.3608,-0.3422,1.554,Walking
9.532,-0.3031,1.5275,-0.4281,1.615,Walking
9.533,0.0479,1.6111,-0.6753,1.7480000000000002,Walking
9.539,0.4117,1.5698,-1.0824,1.9509999999999998,Walking
9.551,0.6341,1.1579,-1.0979,1.7169999999999999,Walking
9.559,0.8538,0.8149,-1.1128,1.6219999999999999,Walking
9.569,1.0927,0.2752,-1.2062,1.651,Walking
9.579,1.2274,-0.1499,-1.1571,1.693,Walking
9.59,1.3115,-0.4761,-1.0966,1.775,Walking
9.599,1.2238,-0.571,-0.9114,1.629,Walking
9.609,0.9951,-0.9387,-0.4072,1.4269999999999998,Walking
9.625,0.9413,-1.2274,-0.1966,1.5590000000000002,Walking
9.628,0.8139,-1.2186,-0.2831,1.493,Walking
9.659,0.6049,-1.3422,-0.1978,1.485,Walking
9.66,0.6049,-1.3422,-0.1978,1.485,Walking
9.661,0.3271,-1.5394,-0.1743,1.5830000000000002,Walking
9.662,0.1143,-1.7167,-0.0832,1.722,Walking
9.669,0.0378,-1.7837,-0.0203,1.784,Walking
9.681,-0.0459,-1.8885,-0.0477,1.89,Walking
9.692,0.0207,-1.9074,0.0367,1.9080000000000001,Walking
9.703,0.1135,-1.7254,0.3599,1.766,Walking
9.728,0.4601,-1.2675,0.6567,1.5,Walking
9.729,1.3767,-0.4114,0.8796,1.685,Walking
9.73,2.0028,-0.1521,1.2452,2.363,Walking
9.739,1.855,-0.665,1.295,2.358,Walking
9.749,1.5026,-1.9509,1.7016,2.9930000000000003,Walking
9.762,0.9925,-2.7519,2.4005,3.784,Walking
9.767,0.138,-3.8705,3.2745,5.072,Walking
9.782,-0.5362,-4.3901,4.2877,6.16,Walking
9.789,-1.0674,-3.9323,5.3844,6.752000000000001,Walking
9.805,-1.5077,-2.3511,6.2262,6.824,Walking
9.81,-1.4416,0.4905,6.112,6.2989999999999995,Walking
9.84,-1.2866,3.7193,4.4836,5.966,Walking
9.842,-1.179,6.716,2.9699,7.437,Walking
